Date,Series,Value
2017-01-01,Volume Intensity,0.1648
2017-01-02,Volume Intensity,0.0609
2017-01-03,Volume Intensity,0.0497
2017-01-04,Volume Intensity,0.0487
2017-01-05,Volume Intensity,0.0576
2017-01-06,Volume Intensity,0.0634
2017-01-07,Volume Intensity,0.068
2017-01-08,Volume Intensity,0.0833
2017-01-09,Volume Intensity,0.0411
2017-01-10,Volume Intensity,0.05
2017-01-11,Volume Intensity,0.0757
2017-01-12,Volume Intensity,0.0379
2017-01-13,Volume Intensity,0.0378
2017-01-14,Volume Intensity,0.0518
2017-01-15,Volume Intensity,0.0507
2017-01-16,Volume Intensity,0.1193
2017-01-17,Volume Intensity,0.213
2017-01-18,Volume Intensity,0.0558
2017-01-19,Volume Intensity,0.0432
2017-01-20,Volume Intensity,0.0393
2017-01-21,Volume Intensity,0.0381
2017-01-22,Volume Intensity,0.0479
2017-01-23,Volume Intensity,0.0376
2017-01-24,Volume Intensity,0.0393
2017-01-25,Volume Intensity,0.0428
2017-01-26,Volume Intensity,0.0361
2017-01-27,Volume Intensity,0.0539
2017-01-28,Volume Intensity,0.0617
2017-01-29,Volume Intensity,0.0516
2017-01-30,Volume Intensity,0.0412
2017-01-31,Volume Intensity,0.0377
2017-02-01,Volume Intensity,0.0317
2017-02-02,Volume Intensity,0.038
2017-02-03,Volume Intensity,0.0306
2017-02-04,Volume Intensity,0.0415
2017-02-05,Volume Intensity,0.0476
2017-02-06,Volume Intensity,0.0396
2017-02-07,Volume Intensity,0.0443
2017-02-08,Volume Intensity,0.0371
2017-02-09,Volume Intensity,0.0408
2017-02-10,Volume Intensity,0.0395
2017-02-11,Volume Intensity,0.0463
2017-02-12,Volume Intensity,0.0381
2017-02-13,Volume Intensity,0.0343
2017-02-14,Volume Intensity,0.0346
2017-02-15,Volume Intensity,0.0416
2017-02-16,Volume Intensity,0.0431
2017-02-17,Volume Intensity,0.0349
2017-02-18,Volume Intensity,0.0401
2017-02-19,Volume Intensity,0.0498
2017-02-20,Volume Intensity,0.0382
2017-02-21,Volume Intensity,0.036
2017-02-22,Volume Intensity,0.0379
2017-02-23,Volume Intensity,0.0342
2017-02-24,Volume Intensity,0.04
2017-02-25,Volume Intensity,0.0446
2017-02-26,Volume Intensity,0.0467
2017-02-27,Volume Intensity,0.0359
2017-02-28,Volume Intensity,0.0391
2017-03-01,Volume Intensity,0.0426
2017-03-02,Volume Intensity,0.0349
2017-03-03,Volume Intensity,0.0373
2017-03-04,Volume Intensity,0.0466
2017-03-05,Volume Intensity,0.0538
2017-03-06,Volume Intensity,0.0394
2017-03-07,Volume Intensity,0.0368
2017-03-08,Volume Intensity,0.0298
2017-03-09,Volume Intensity,0.039
2017-03-10,Volume Intensity,0.0491
2017-03-11,Volume Intensity,0.0843
2017-03-12,Volume Intensity,0.0485
2017-03-13,Volume Intensity,0.0341
2017-03-14,Volume Intensity,0.0328
2017-03-15,Volume Intensity,0.0372
2017-03-16,Volume Intensity,0.0307
2017-03-17,Volume Intensity,0.0335
2017-03-18,Volume Intensity,0.0434
2017-03-19,Volume Intensity,0.0467
2017-03-20,Volume Intensity,0.0379
2017-03-21,Volume Intensity,0.0309
2017-03-22,Volume Intensity,0.0318
2017-03-23,Volume Intensity,0.0492
2017-03-24,Volume Intensity,0.0349
2017-03-25,Volume Intensity,0.0342
2017-03-26,Volume Intensity,0.0396
2017-03-27,Volume Intensity,0.0334
2017-03-28,Volume Intensity,0.0356
2017-03-29,Volume Intensity,0.0315
2017-03-30,Volume Intensity,0.0375
2017-03-31,Volume Intensity,0.0472
2017-04-01,Volume Intensity,0.062
2017-04-02,Volume Intensity,0.0514
2017-04-03,Volume Intensity,0.0493
2017-04-04,Volume Intensity,0.0326
2017-04-05,Volume Intensity,0.0331
2017-04-06,Volume Intensity,0.0357
2017-04-07,Volume Intensity,0.0363
